Shares,Value,Url,Text,Start date,Ownership,Ticker,30_day_return,Ml_target_signal,mask_executive_id,mask_position_id
2790,0.0,,Stock Award(Grant) at price 0.00 per share.,2024-07-03,D,GOOGL,-0.1192,0,eafe42ae7411de8b4526264844394204be2ec114e2247bbe84d7516b32a2cd3f,b3c5bb2c6216bd5eebb27844209d649b53dfffa56f1b9bd189f374dcc0056611
836,148124.0,,Sale at price 176.73 - 179.19 per share.,2024-06-12,I,GOOGL,-0.0007,0,eafe42ae7411de8b4526264844394204be2ec114e2247bbe84d7516b32a2cd3f,b3c5bb2c6216bd5eebb27844209d649b53dfffa56f1b9bd189f374dcc0056611
1000,204250.0,,Sale at price 204.25 per share.,2026-03-02,D,AMZN,0.0161,0,a5031882238d0eb6e8c720e8cecaf1cceac6cb8e4da8fe13d6925ae278346035,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
17749,3645614.0,,Sale at price 204.15 - 208.02 per share.,2026-02-24,D,AMZN,0.0152,0,b19f29bdc7ab62cc307c30f5d7d6b7c43c220142c7901f00e5f3958c43324363,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
2695,554892.0,,Sale at price 204.60 - 207.98 per share.,2026-02-23,D,AMZN,0.0315,0,16cf70bb7b601e0eb0d8a0a9f2c914706a66ec5c2e209bd8903ffc6363015c08,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
19872,4077378.0,,Sale at price 204.25 - 207.96 per share.,2026-02-23,D,AMZN,0.0315,0,38a6148db2f362be2a1783ea3432249f7b30ad4e555be32b182e2fa19c569f81,c843c232c31426b2ee4ebab8c1146a01d410b1c8f9ba0da36361a1edcc5e5095
17751,3642842.0,,Sale at price 204.14 - 208.05 per share.,2026-02-23,D,AMZN,0.0315,0,adc039d6dcd07020258b374c26419004a9e6d50998298dfb713ad656b9194007,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
6835,1406785.0,,Sale at price 204.63 - 208.25 per share.,2026-02-23,D,AMZN,0.0315,0,a5031882238d0eb6e8c720e8cecaf1cceac6cb8e4da8fe13d6925ae278346035,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
17749,,,,2026-02-20,D,AMZN,0.0078,0,b19f29bdc7ab62cc307c30f5d7d6b7c43c220142c7901f00e5f3958c43324363,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
17749,,,,2026-02-20,D,AMZN,0.0078,0,8ce2b0c013f6eb3f0fe00026648a986f6141aa1145b5af9b5f6eb38316b5bece,e878fb932775145a35d621cbfd18580eac7e08d475df589d8d4709f6effc7826
17087,,,,2026-02-20,D,AMZN,0.0078,0,a5031882238d0eb6e8c720e8cecaf1cceac6cb8e4da8fe13d6925ae278346035,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
20883,,,,2026-02-20,D,AMZN,0.0078,0,adc039d6dcd07020258b374c26419004a9e6d50998298dfb713ad656b9194007,0b4b9cf280db0684e726c2d69e9c94ac80ed76308867e7b2a51e13ec634843bf
